PLAYER,POS,AGILITY,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERITCAL,MAX_VERTICAL,BENCH_PRESS
Steven Adams,C,11.85,3.02,3.40,28.5,33.0,16
Vander Blue,SG,10.40,2.70,3.14,28.0,37.5,4
Lorenzo Brown,PG,11.78,3.24,3.40,28.0,34.0,8
Reggie Bullock,SG-SF,11.33,3.30,3.31,31.0,36.5,11
Trey Burke,PG,11.20,3.01,3.16,29.5,36.5,3
Kentavious Caldwell-Pope,SG,10.60,3.20,3.12,29.0,34.5,7
Isaiah Canaan,PG,10.98,2.89,3.22,33.0,40.5,16
Jackie Carmichael,PF,11.83,3.07,3.35,30.0,32.0,13
Michael Carter-Williams,PG,10.68,3.70,3.22,31.5,41.0,8
Will Clyburn,SF-SG,11.68,3.12,3.38,28.0,34.5,3
Robert Covington,SF-PF,11.69,3.10,3.34,29.5,36.0,9
Allen Crabbe,SG,10.67,3.10,3.32,30.5,36.0,10
Seth Curry,SG,-,-,-,-,-,-
Brandon Davies,PF,11.22,3.14,3.50,26.0,31.5,7
Dewayne Dedmon,C,12.75,3.26,3.40,28.0,32.5,8
Gorgui Dieng,C,-,-,-,-,-,-
James Ennis,SF,11.55,3.06,3.40,29.5,36.5,7
Carrick Felix,SF-SG,11.16,3.09,3.25,32.0,38.5,15
Jamaal Franklin,SG-SF,-,-,-,-,-,-
Rudy Gobert,C,12.85,3.19,3.57,25.0,29.0,7
Archie Goodwin,SG,10.75,3.41,3.27,30.0,36.0,1
Erick Green,PG,-,-,-,-,-,5
Tim Hardaway Jr.,SG,10.68,2.93,3.25,31.5,37.5,16
Solomon Hill,SF,10.77,2.91,3.19,29.5,37.5,14
Richard Howell,PF,-,-,-,-,-,-
Colton Iverson,C,11.52,3.04,3.52,26.5,30.0,12
Pierre Jackson,PG,-,-,-,-,-,-
Grant Jerrett,PF,11.85,3.23,3.51,28.5,34.0,2
Myck Kabongo,PG,10.64,2.86,3.44,27.5,33.5,2
Kenny Kadji,PF-C,11.47,2.88,3.44,34.0,38.0,9
Ryan Kelly,PF,-,-,-,-,-,-
Shane Larkin,PG,10.64,3.03,3.08,34.5,44.0,12
Ricky Ledo,SG,10.72,3.16,3.32,27.0,33.5,4
Alex Len,C,-,-,-,-,-,-
CJ Leslie,PF-SF,10.19,2.79,3.10,32.5,40.5,-
Trevor Mbakwe,PF,12.01,2.97,3.32,30.0,36.5,21
Ray McCallum,PG,10.82,3.08,3.25,30.5,40.0,5
CJ McCollum,PG-SG,11.02,2.91,3.32,32.0,38.5,13
Ben McLemore,SG,11.87,3.11,3.27,32.5,42.0,6
Tony Mitchell,PF-SF,11.82,3.25,3.52,33.5,38.0,13
Shabazz Muhammad,SF-SG,10.99,2.93,3.32,29.5,37.0,10
Erik Murphy,PF,12.19,2.96,3.57,24.5,29.5,13
Mike Muscala,C-PF,11.76,2.99,3.44,28.0,33.5,5
Nerlens Noel,C,-,-,-,-,-,-
Victor Oladipo,SG,10.69,3.14,3.25,33.0,42.0,15
Kelly Olynyk,PF-C,11.42,2.99,3.59,24.5,29.5,5
Brandon Paul,SG,11.16,2.90,3.37,33.5,39.5,15
Norvel Pelle,PF-C,11.49,3.20,3.32,31.0,34.5,0
Mason Plumlee,C-PF,10.89,2.76,3.29,30.5,36.0,14
Otto Porter,SF,11.25,3.06,3.40,27.0,36.0,9
Phil Pressey,PG,10.86,3.02,3.13,33.0,38.5,7
Glen Rice,SF-SG,10.99,3.08,3.25,33.0,40.5,10
Andre Roberson,PF-SF,11.36,3.02,3.34,30.0,36.5,10
Dennis Schroder,PG,11.09,2.86,3.21,30.0,34.0,1
Peyton Siva,PG,10.59,2.93,3.16,33.5,41.5,15
Tony Snell,SF-SG,11.36,2.84,3.25,30.0,36.5,7
James Southerland,SF-PF,10.90,3.03,3.38,29.0,32.0,5
Deshaun Thomas,SF,12.94,3.38,3.53,28.5,32.0,5
Adonis Thomas,SF,11.64,3.11,3.32,34.5,40.5,13
Jeff Withey,C,12.49,3.29,3.47,26.5,29.0,10
Nate Wolters,PG,-,-,-,-,-,8
BJ Young,SG-PG,-,-,-,-,-,-
Cody Zeller,C-PF,10.82,2.69,3.15,35.5,37.5,17
