center,left,left_URL,left1,left_URL2,left3,left_URL4,left5,right,right6,right7,right8,right9,right10,right11,right12,right13
1,Derrick Favors (college),https://www.basketball-reference.com/players/f/favorde01.html,Derrick Favors,https://www.sports-reference.com/cbb/players/derrick-favors-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=gatech,Georgia Tech,2011,2020,53.6,1,3,1,2,1,2
2,John Wall (college),https://www.basketball-reference.com/players/w/walljo01.html,John Wall,https://www.sports-reference.com/cbb/players/john-wall-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2011,2019,44.3,2,1,3,1,3,5
3,DeMarcus Cousins (college),https://www.basketball-reference.com/players/c/couside01.html,DeMarcus Cousins,https://www.sports-reference.com/cbb/players/demarcus-cousins-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2011,2019,44.1,3,2,4,5,4,4
4,Avery Bradley (college),https://www.basketball-reference.com/players/b/bradlav01.html,Avery Bradley,https://www.sports-reference.com/cbb/players/avery-bradley-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=texas,Texas,2011,2020,16.1,5,4,2,3,2,1
5,John Henson (college),https://www.basketball-reference.com/players/h/hensojo01.html,John Henson,https://www.sports-reference.com/cbb/players/john-henson-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=unc,UNC,2013,2020,20.7,4,5,5,4,5,6
6,Xavier Henry (college),https://www.basketball-reference.com/players/h/henryxa01.html,Xavier Henry,https://www.sports-reference.com/cbb/players/xavier-henry-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kansas,Kansas,2011,2015,0.8,6,8,8,6,6,3
7,Renardo Sidney (college),https://www.sports-reference.com/cbb/players/renardo-sidney-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=missst,Mississippi State,,,,7,16,9,9,7,7
8,Lance Stephenson (college),https://www.basketball-reference.com/players/s/stephla01.html,Lance Stephenson,https://www.sports-reference.com/cbb/players/lance-stephenson-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=cincy,Cincinnati,2011,2019,16.7,8,11,7,8,11,12
9,Kenny Boynton (college),https://www.sports-reference.com/cbb/players/kenny-boynton-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=florida,Florida,,,,15,12,6,7,8,9
10,Tiny Gallon (college),https://www.sports-reference.com/cbb/players/tiny-gallon-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=oklahoma,Oklahoma,,,,11,9,13,15,10,11
11,Abdul Gaddy (college),https://www.basketball-reference.com/players/g/gaddyab01.html,Abdul Gaddy,https://www.sports-reference.com/cbb/players/abdul-gaddy-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=washington,Washington,,,,10,13,10,16,16,14
12,Mouphtaou Yarou (college),https://www.sports-reference.com/cbb/players/mouphtaou-yarou-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=villanova,Villanova,,,,9,10,11,20,26,18
13,Dante Taylor (college),https://www.sports-reference.com/cbb/players/dante-taylor-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=pitt,Pitt,,,,16,14,18,13,23,16
14,Ryan Kelly (college),https://www.basketball-reference.com/players/k/kellyry01.html,Ryan Kelly,https://www.sports-reference.com/cbb/players/ryan-kelly-3.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2014,2017,3.0,12,20,14,32,18,17
15,Wally Judge (college),https://www.sports-reference.com/cbb/players/wally-judge-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=rutgers,Rutgers University,,,,19,18,20,17,19,15
16,Alex Oriakhi (college),https://www.basketball-reference.com/players/o/oriakal01.html,Alex Oriakhi,https://www.sports-reference.com/cbb/players/alex-oriakhi-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=missouri,Missouri,,,,20,21,19,19,22,20
17,Michael Snaer (college),https://www.basketball-reference.com/players/s/snaermi01.html,Michael Snaer,https://www.sports-reference.com/cbb/players/michael-snaer-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=floridast,Florida State,,,,13,7,12,14,13,22
18,Mason Plumlee (college),https://www.basketball-reference.com/players/p/plumlma01.html,Mason Plumlee,https://www.sports-reference.com/cbb/players/mason-plumlee-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2014,2020,34.3,18,55,17,12,12,10
19,Dominic Cheek (college),https://www.sports-reference.com/cbb/players/dominic-cheek-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=villanova,Villanova,,,,22,30,26,11,14,19
RSCI,,,,,,,,,,,,,,,,
T19,Daniel Orton (college),https://www.basketball-reference.com/players/o/ortonda01.html,Daniel Orton,https://www.sports-reference.com/cbb/players/daniel-orton-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2012,2014,1.0,17,22,16,30,21,13
21,Milton Jennings (college),https://www.sports-reference.com/cbb/players/milton-jennings-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=clemson,Clemson,,,,23,25,25,21,17,26
22,Jordan Hamilton (college),https://www.basketball-reference.com/players/h/hamiljo02.html,Jordan Hamilton,https://www.sports-reference.com/cbb/players/jordan-hamilton-2.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=texas,Texas,2012,2016,3.0,14,6,15,10,15,8
23,Maalik Wayns (college),https://www.basketball-reference.com/players/w/waynsma01.html,Maalik Wayns,https://www.sports-reference.com/cbb/players/maalik-wayns-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=villanova,Villanova,2013,2014,-0.3,26,26,24,26,30,23
