PLAYER,YEAR,POS,HEIGHT,HEIGHT_W_SHOES,REACH,WEIGHT,WINGSPAN,WING DIFF,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERTICAL,MAX_VERTICAL,BENCH_PRESS,BODY_FAT,HAND L,HAND W
A.J. Granger,2000,WING,79.5,,103,227,81.5,2,,3.25,30,34,20,,,
A.J. Guyton,2000,COMBO G,72.75,,97.5,175,75.75,3,,3.22,33,37.5,9,,,
A.J. Price,2009,PG,72.5,74,97,192.8,75.75,3.25,,3.22,26,31,11,12.40%,,
Aaron Brooks,2007,PG,70,71.75,94,161,76,6,,3.2,32.5,39.5,6,2.70%,,
Aaron Craft,2014,PG,72.75,73.75,94.5,191.6,74,1.25,2.9,3.26,29,32,,6.10%,7.75,8.5
Aaron Gordon,2014,BIG,79.5,80.75,105,220.1,83.75,4.25,2.76,3.27,32.5,39,,5.10%,8.75,10.5
Aaron Gray,2007,BIG,84,85.75,108.5,271,87.25,3.25,,3.7,27,32.5,17,10.80%,,
Aaron Harrison,2015,WING,76.5,78,100.5,209.2,80.25,3.75,,3.27,28.5,34.5,1,6.00%,8.75,10
Aaron Holiday,2018,PG,71.75,72.75,97,187,79.5,7.75,3.22,3.27,25.5,33,,6.40%,8.75,8.5
Aaron McGhee,2002,COMBO F,79,,105.5,255,82,3,,,26,28.5,,,,
Aaron Miles,2005,PG,72,73.5,94,174.6,75.5,3.5,,3.22,32,37.5,7,,,
Aaron White,2015,COMBO F,79.75,80.75,106.5,219.8,83.5,3.75,3.15,3.38,30,35,7,8.00%,8.75,9.25
Acie Law,2007,PG,74,75.5,98,186,78.5,4.5,,3.22,29,34,8,5.60%,,
Adam Allenspach,2001,BIG,83.5,,107,259,84.5,1,,3.4,28.5,31,16,12.40%,,
Adam Morrison,2006,WING,78.5,79.75,105,198,82,3.5,,3.37,25.5,30.5,11,6.80%,,
Admiral Schofield,2019,COMBO F,76,77.25,102.5,240.6,81.75,5.75,2.87,3.37,30,34,15,6.80%,8.75,9
Adonis Thomas,2013,WING,76.75,77.75,99,231.8,85,8.25,3.11,3.32,34.5,40.5,13,7.50%,9.25,9.5
Adreian Payne,2014,BIG,81,81.75,109,238.5,88,7,,,,,,7.60%,9.25,9.5
Aerick Sanders,2004,BIG,78.5,79.5,106,205,83.5,5,,3.37,24.5,30.5,9,6.70%,,
AJ English,2016,PG,74,75,98.5,182.2,82,8,3.27,3.28,29.5,35.5,,5.30%,8.75,8.5
