Field13,Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,EWA,Field14,Player
Select Year,Hollinger Stats - Estimated Wins Added - All Players,,,,,,,,,,,,,,,,
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,1,"James Harden, HOU",68,36.5,0.626,19.1,11.5,36.5,2.9,16,9.4,29.11,23,689.8,23,http://insider.espn.go.com/nba/players/hollinger?playerId=3992,James Harden
Select Year,2,"Damian Lillard, POR",66,37.5,0.627,23,8.4,31.3,1.4,10.5,6,26.95,19.6,589.1,19.6,http://insider.espn.go.com/nba/players/hollinger?playerId=6606,Damian Lillard
Select Year,3,"Giannis Antetokounmpo, MIL",63,30.4,0.613,16.9,11,37.2,7.7,34.8,22.1,31.94,19.5,584.9,19.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3032977,Giannis Antetokounmpo
Select Year,4,"Luka Doncic, DAL",61,33.6,0.585,23.4,11.3,38.3,4.1,25,14.7,27.65,17.5,523.8,17.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3945274,Luka Doncic
Select Year,5,"LeBron James, LAL",67,34.6,0.577,28.3,10.8,33.6,3.2,21.5,12.4,25.55,17.3,520.3,17.3,http://insider.espn.go.com/nba/players/hollinger?playerId=1966,LeBron James
Select Year,6,"Anthony Davis, LAL",62,34.4,0.61,11.9,9.2,28.9,7.4,22.1,14.8,27.5,17,508.8,17,http://insider.espn.go.com/nba/players/hollinger?playerId=6583,Anthony Davis
Select Year,7,"Nikola Jokic, DEN",73,32,0.605,26.4,11.6,28.3,8,26.1,17.1,24.97,16.7,501.1,16.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3112335,Nikola Jokic
Select Year,8,"Kawhi Leonard, LAC",57,32.4,0.589,16.1,8.6,33.2,3.1,19.1,11.3,26.91,15.1,452.7,15.1,http://insider.espn.go.com/nba/players/hollinger?playerId=6450,Kawhi Leonard
Select Year,9,"Hassan Whiteside, POR",67,30,0.644,7.8,11.9,18.9,13.6,33.3,23.6,25.07,14.5,433.5,14.5,http://insider.espn.go.com/nba/players/hollinger?playerId=4262,Hassan Whiteside
Select Year,10,"Trae Young, ATL",60,35.3,0.595,23.9,12.3,36.2,1.6,11.5,6.5,23.95,13.7,409.8,13.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4277905,Trae Young
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,11,"Bradley Beal, WSH",57,36,0.579,17,9.5,34.5,2.7,10.5,6.4,23.22,13,389.9,13,http://insider.espn.go.com/nba/players/hollinger?playerId=6580,Bradley Beal
Select Year,12,"Rudy Gobert, UTAH",68,34.3,0.699,10.5,13.5,15.7,11.2,31.3,21.6,21.72,12.9,387.3,12.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3032976,Rudy Gobert
Select Year,,"DeMar DeRozan, SA",68,34.1,0.603,21.2,9.2,26.6,2.1,15.4,8.7,21.66,12.9,385.8,12.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3978,DeMar DeRozan
Select Year,14,"Jimmy Butler, MIA",58,33.8,0.585,23.9,8.7,25.7,6.3,15.4,11,23.61,12.8,383.2,12.8,http://insider.espn.go.com/nba/players/hollinger?playerId=6430,Jimmy Butler
Select Year,15,"Devin Booker, PHX",70,35.9,0.618,20.5,11.9,30.3,1.3,12,6.6,20.64,12.7,380.1,12.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3136193,Devin Booker
Select Year,16,"Chris Paul, OKC",70,31.5,0.61,28.7,9.8,24.4,1.3,15.7,8.7,21.72,11.8,353.1,11.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2779,Chris Paul
Select Year,17,"Joel Embiid, PHI",51,29.5,0.59,11.7,12.2,32.4,10.3,33.2,21.7,25.82,11.4,342.1,11.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3059318,Joel Embiid
Select Year,18,"Nikola Vucevic, ORL",62,32.2,0.549,15.7,6.2,25.9,7.3,29.7,18.1,21.95,11.3,338.4,11.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6478,Nikola Vucevic
Select Year,19,"Jonas Valanciunas, MEM",70,26.4,0.631,12.1,11.7,21.1,12.4,32.2,22.5,22.32,10.8,322.7,10.8,http://insider.espn.go.com/nba/players/hollinger?playerId=6477,Jonas Valanciunas
Select Year,20,"Andre Drummond, CLE/DET",57,33,0.553,12,16,28.2,14.9,37.5,26,22.08,10.7,322,10.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6585,Andre Drummond
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,,"Bam Adebayo, MIA",72,33.6,0.598,24.1,13.3,21.7,8.5,24.9,17,20.36,10.7,319.8,10.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4066261,Bam Adebayo
Select Year,22,"Russell Westbrook, HOU",57,35.9,0.536,19.1,12.1,34.7,5.1,18.1,11.5,21.1,10.3,308.9,10.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3468,Russell Westbrook
