RSCI,Name_URL,URL,Player,URL2,college_nan,URL3,College,from,to,WS,m1,m2,m3,m4,m5,m6
1,Marvin Bagley III (college),https://www.basketball-reference.com/players/b/baglema01.html,Marvin Bagley III,https://www.sports-reference.com/cbb/players/marvin-bagleyiii-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2019,2020,4.0,2,1,1,2,1,
2,Michael Porter Jr. (college),https://www.basketball-reference.com/players/p/portemi01.html,Michael Porter Jr.,https://www.sports-reference.com/cbb/players/michael-porterjr-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=missouri,Missouri,2020,2020,2.9,1,2,3,1,2,
3,DeAndre Ayton (college),https://www.basketball-reference.com/players/a/aytonde01.html,DeAndre Ayton,https://www.sports-reference.com/cbb/players/deandre-ayton-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=arizona,Arizona,2019,2020,9.0,3,3,2,4,5,
4,Mohamed Bamba (college),https://www.basketball-reference.com/players/b/bambamo01.html,Mohamed Bamba,https://www.sports-reference.com/cbb/players/mohamed-bamba-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=texas,Texas,2019,2020,4.2,6,4,4,3,3,
5,Trevon Duval (college),https://www.basketball-reference.com/players/d/duvaltr01.html,Trevon Duval,https://www.sports-reference.com/cbb/players/trevon-duval-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2019,2019,0.1,4,6,8,5,7,
6,Collin Sexton (college),https://www.basketball-reference.com/players/s/sextoco01.html,Collin Sexton,https://www.sports-reference.com/cbb/players/collin-sexton-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=alabama,Alabama,2019,2020,1.9,5,7,7,8,4,
7,Wendell Carter (college),https://www.basketball-reference.com/players/c/cartewe01.html,Wendell Carter,https://www.sports-reference.com/cbb/players/wendell-carterjr-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2019,2020,5.2,7,5,5,6,10,
8,Mitchell Robinson (college),https://www.basketball-reference.com/players/r/robinmi01.html,Mitchell Robinson,https://www.sports-reference.com/cbb/players/NULL.html,(college),,,2019,2020,12.9,8,11,9,9,6,
9,Jaren Jackson (college),https://www.basketball-reference.com/players/j/jacksja02.html,Jaren Jackson,https://www.sports-reference.com/cbb/players/jaren-jacksonjr-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=michiganst,Michigan State,2019,2020,6.8,27,9,6,7,8,
10,Kevin Knox (college),https://www.basketball-reference.com/players/k/knoxke01.html,Kevin Knox,https://www.sports-reference.com/cbb/players/kevin-knox-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2019,2020,-1.2,13,10,10,10,18,
11,Brandon McCoy (college),https://www.basketball-reference.com/players/m/mccoybr01.html,Brandon McCoy,https://www.sports-reference.com/cbb/players/brandon-mccoy-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=unlv,UNLV,,,,9,16,13,12,16,
12,Troy Brown (college),https://www.basketball-reference.com/players/b/browntr01.html,Troy Brown,https://www.sports-reference.com/cbb/players/troy-brown-5.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=oregon,Oregon,2019,2020,3.0,18,15,14,13,12,
13,Jarred Vanderbilt (college),https://www.basketball-reference.com/players/v/vandeja01.html,Jarred Vanderbilt,https://www.sports-reference.com/cbb/players/jarred-vanderbilt-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2019,2020,0.0,21,19,12,14,9,
14,PJ Washington (college),https://www.basketball-reference.com/players/w/washipj01.html,PJ Washington,https://www.sports-reference.com/cbb/players/pj-washington-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2020,2020,2.0,15,12,15,15,19,
T14,Gary Trent Jr. (college),https://www.basketball-reference.com/players/t/trentga02.html,Gary Trent Jr.,https://www.sports-reference.com/cbb/players/gary-trentjr-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2019,2020,2.3,12,8,21,18,17,
16,Brian Bowen,https://www.basketball-reference.com/players/b/bowenbr02.html,Brian Bowen,,,https://www.basketball-reference.com/friv/colleges.fcgi?college=louisville,Louisville,2020,2020,-0.1,14,14,19,21,13,
17,Lonnie Walker (college),https://www.basketball-reference.com/players/w/walkelo01.html,Lonnie Walker,https://www.sports-reference.com/cbb/players/lonnie-walker-2.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=miamifl,Miami (FL),2019,2020,0.4,23,13,16,19,14,
18,Nick Richards (college),https://www.sports-reference.com/cbb/players/nick-richards-2.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,,,,20,17,17,17,15,
19,Billy Preston,https://www.basketball-reference.com/players/p/prestbi01.html,Billy Preston,,,https://www.basketball-reference.com/friv/colleges.fcgi?college=kansas,Kansas,,,,16,18,23,11,22,
RSCI,,,,,,,,,,,,,,,,
20,Kris Wilkes (college),https://www.basketball-reference.com/players/w/wilkekr01.html,Kris Wilkes,https://www.sports-reference.com/cbb/players/kris-wilkes-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=ucla,UCLA,,,,17,26,18,20,23,
