Text1,Text,Root
Markelle Fultz,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,19,PHI,NBA,SG,14,253,12.4,.416,.009,.189,4.9,13.1,9.2,31.3,2.3,1.3,12.4,23.1,,-0.2,0.4,0.2,.043,,-3.3,0.7,-2.6,0.0
2018-19,20,PHI,NBA,SG,19,427,10.5,.452,.090,.239,6.6,10.6,8.7,19.5,1.9,0.9,12.7,19.3,,-0.1,0.4,0.3,.035,,-3.3,0.2,-3.1,-0.1
2019-20,21,ORL,NBA,PG,72,1996,14.3,.517,.175,.206,2.1,11.0,6.4,29.0,2.2,0.5,14.9,21.4,,0.6,2.0,2.7,.065,,-1.8,0.0,-1.8,0.1
Career,,,NBA,,105,2676,13.5,.496,.145,.209,3.1,11.1,7.0,27.7,2.2,0.6,14.3,21.2,,0.4,2.8,3.2,.058,,-2.2,0.1,-2.1,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,ORL,NBA,,72,1996,14.3,.517,.175,.206,2.1,11.0,6.4,29.0,2.2,0.5,14.9,21.4,,0.6,2.0,2.7,.065,,-1.8,0.0,-1.8,0.1
2 seasons,,PHI,NBA,,33,680,11.2,.437,.056,.218,6.0,11.5,8.9,23.9,2.0,1.1,12.6,20.7,,-0.3,0.8,0.5,.038,,-3.3,0.4,-2.9,-0.2",undefined
Lonzo Ball,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,20,LAL,NBA,PG,52,1780,12.5,.444,.523,.126,4.2,17.3,10.8,29.2,2.4,2.0,18.6,17.4,,-0.5,2.5,2.0,.053,,-0.7,1.6,1.0,1.3
2018-19,21,LAL,NBA,PG,47,1423,11.7,.487,.500,.105,4.0,14.0,9.1,23.8,2.3,1.1,17.8,16.9,,-0.2,1.7,1.6,.052,,-1.6,1.3,-0.3,0.6
2019-20,22,NOP,NBA,PG,63,2025,13.1,.517,.575,.111,3.7,16.4,10.0,29.1,2.0,1.6,21.1,18.5,,0.4,2.0,2.4,.058,,0.1,0.6,0.6,1.3
Career,,,NBA,,162,5228,12.5,.485,.538,.114,3.9,16.0,10.0,27.7,2.2,1.6,19.4,17.7,,-0.3,6.2,6.0,.055,,-0.6,1.1,0.5,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAL,NBA,,99,3203,12.2,.463,.513,.117,4.1,15.8,10.0,26.8,2.3,1.6,18.2,17.2,,-0.7,4.2,3.5,.053,,-1.1,1.5,0.4,1.9
1 season,,NOP,NBA,,63,2025,13.1,.517,.575,.111,3.7,16.4,10.0,29.1,2.0,1.6,21.1,18.5,,0.4,2.0,2.4,.058,,0.1,0.6,0.6,1.3",undefined
Jayson Tatum,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,19,BOS,NBA,SF,80,2443,15.3,.586,.290,.309,2.3,15.6,9.0,8.3,1.7,2.0,10.7,19.5,,3.0,4.0,7.1,.139,,0.0,1.2,1.2,2.0
2018-19,20,BOS,NBA,SF,79,2455,15.1,.547,.300,.220,3.0,17.7,10.4,10.0,1.6,2.1,9.7,22.1,,1.6,3.4,5.0,.097,,-0.4,0.2,-0.2,1.1
2019-20,21,BOS,NBA,PF,66,2265,20.4,.567,.383,.255,3.1,18.5,10.9,14.5,2.0,2.3,10.2,28.6,,3.2,3.7,6.9,.146,,3.5,0.6,4.0,3.4
Career,,,NBA,,225,7163,16.8,.566,.330,.258,2.8,17.2,10.1,10.9,1.8,2.1,10.2,23.2,,7.8,11.1,18.9,.127,,1.0,0.6,1.6,6.5",undefined
Josh Jackson,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,20,PHO,NBA,SF,77,1959,11.8,.480,.233,.299,5.1,14.2,9.6,10.1,2.0,1.4,12.2,26.0,,-2.0,1.2,-0.7,-0.018,,-2.8,-1.4,-4.2,-1.1
2018-19,21,PHO,NBA,SG,79,1988,10.6,.487,.268,.253,3.6,15.9,9.7,14.1,1.8,2.3,15.6,23.9,,-2.8,1.1,-1.7,-0.040,,-3.3,-1.2,-4.6,-1.3
2019-20,22,MEM,NBA,SF,22,381,14.1,.547,.453,.314,3.1,14.9,9.1,13.1,2.2,2.1,13.4,22.8,,0.1,0.5,0.5,.069,,-1.1,1.1,0.0,0.2
Career,,,NBA,,178,4328,11.5,.488,.266,.281,4.2,15.0,9.6,12.2,1.9,1.9,13.8,24.8,,-4.7,2.8,-1.8,-0.020,,-2.9,-1.1,-4.0,-2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHO,NBA,,156,3947,11.2,.483,.249,.277,4.4,15.0,9.6,12.1,1.9,1.9,13.8,25.0,,-4.7,2.3,-2.4,-0.029,,-3.1,-1.3,-4.4,-2.4
1 season,,MEM,NBA,,22,381,14.1,.547,.453,.314,3.1,14.9,9.1,13.1,2.2,2.1,13.4,22.8,,0.1,0.5,0.5,.069,,-1.1,1.1,0.0,0.2",undefined
De'Aaron Fox,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,20,SAC,NBA,PG,73,2026,11.2,.478,.192,.245,1.8,10.0,5.7,24.6,1.7,0.9,16.4,23.4,,-1.7,1.1,-0.6,-0.014,,-2.7,-1.5,-4.2,-1.1
2018-19,21,SAC,NBA,PG,81,2546,18.1,.544,.211,.378,1.7,10.8,6.2,33.2,2.4,1.5,15.0,24.5,,3.2,2.5,5.6,.106,,1.3,0.2,1.5,2.3
2019-20,22,SAC,NBA,PG,51,1634,20.6,.558,.227,.420,2.4,11.4,6.8,35.3,2.2,1.5,14.1,29.8,,2.6,1.4,4.0,.118,,2.3,-0.5,1.8,1.6
Career,,,NBA,,205,6206,16.5,.530,.210,.352,1.9,10.7,6.2,30.9,2.1,1.3,15.1,25.6,,4.1,4.9,9.1,.070,,0.2,-0.5,-0.3,2.7",undefined
Jonathan Isaac,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,20,ORL,NBA,PF,27,536,9.8,.465,.317,.172,3.3,17.2,10.2,4.8,3.0,4.5,14.8,15.0,,-0.6,0.8,0.2,.021,,-3.8,2.4,-1.4,0.1
2018-19,21,ORL,NBA,PF,75,1996,13.0,.537,.435,.221,5.2,17.0,11.0,5.7,1.4,4.1,10.1,16.3,,0.9,3.1,4.0,.096,,-1.4,1.0,-0.4,0.8
2019-20,22,ORL,NBA,PF,34,980,17.3,.552,.283,.232,6.2,19.6,12.7,7.4,2.6,7.2,11.8,18.3,,0.6,1.9,2.5,.120,,-0.5,2.9,2.3,1.1
Career,,,NBA,,136,3512,13.7,.532,.373,.218,5.2,17.8,11.4,6.0,2.0,5.0,11.2,16.6,,0.9,5.8,6.7,.091,,-1.6,1.8,0.2,2.0",undefined
Lauri Markkanen,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,20,CHI,NBA,PF,68,2020,15.6,.552,.465,.193,4.0,23.7,13.5,6.4,0.9,1.8,8.2,21.9,,1.7,1.6,3.3,.079,,1.0,-1.2,-0.2,0.9
2018-19,21,CHI,NBA,PF,52,1682,17.1,.553,.418,.245,4.7,25.9,15.2,7.2,1.1,1.7,8.8,25.1,,1.3,1.5,2.7,.078,,1.4,-1.5,-0.2,0.7
2019-20,22,CHI,NBA,PF,50,1492,14.3,.560,.536,.259,4.2,19.7,11.6,7.6,1.4,1.5,11.0,21.1,,1.0,1.6,2.6,.084,,0.2,-0.8,-0.6,0.5
Career,,,NBA,,170,5194,15.7,.555,.467,.229,4.3,23.2,13.5,7.0,1.1,1.7,9.1,22.7,,4.0,4.7,8.7,.080,,0.9,-1.2,-0.3,2.2",undefined
Frank Ntilikina,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,19,NYK,NBA,PG,78,1706,7.0,.437,.314,.136,2.4,9.1,5.8,20.0,1.9,0.9,19.8,16.9,,-2.0,1.1,-0.9,-0.026,,-4.5,-0.5,-5.0,-1.3
2018-19,20,NYK,NBA,PG,43,904,6.0,.417,.408,.106,1.4,8.9,5.0,19.5,1.6,1.3,15.9,16.6,,-1.3,0.4,-0.8,-0.045,,-5.2,-0.8,-6.0,-0.9
2019-20,21,NYK,NBA,PG,57,1187,9.8,.497,.411,.177,2.0,9.1,5.4,20.2,2.2,1.3,16.5,15.4,,0.1,0.8,0.9,.037,,-3.6,0.4,-3.2,-0.4
Career,,,NBA,,178,3797,7.7,.450,.367,.141,2.0,9.0,5.5,19.9,1.9,1.1,17.9,16.4,,-3.2,2.3,-0.8,-0.011,,-4.4,-0.3,-4.7,-2.5",undefined
Dennis Smith Jr.,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,20,DAL,NBA,PG,69,2049,12.8,.473,.331,.188,2.6,11.8,7.0,29.5,1.7,0.8,14.9,28.9,,-2.4,1.7,-0.7,-0.017,,-1.2,-1.2,-2.4,-0.2
2018-19,21,TOT,NBA,PG,53,1508,12.3,.502,.320,.240,2.2,8.7,5.5,27.3,2.1,1.1,17.6,24.8,,-1.2,1.2,0.0,.001,,-1.6,-0.4,-1.9,0.0
2018-19,21,DAL,NBA,PG,32,908,11.5,.527,.350,.230,2.1,9.3,5.7,24.1,2.1,1.0,20.3,23.3,,-0.7,0.9,0.2,.010,,-2.1,0.0,-2.1,0.0
2018-19,21,NYK,NBA,PG,21,600,13.5,.473,.283,.253,2.4,7.9,5.1,32.2,2.2,1.3,14.2,27.0,,-0.5,0.3,-0.2,-0.014,,-0.8,-0.9,-1.7,0.0
2019-20,22,NYK,NBA,PG,34,537,7.4,.399,.256,.251,4.1,11.7,7.7,26.4,2.5,1.4,19.8,23.1,,-1.4,0.5,-0.9,-0.079,,-5.2,-0.9,-6.1,-0.6
Career,,,NBA,,156,4094,11.9,.475,.319,.213,2.7,10.6,6.6,28.3,2.0,1.0,16.5,26.6,,-4.9,3.4,-1.6,-0.018,,-1.9,-0.8,-2.7,-0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DAL,NBA,,101,2957,12.4,.487,.336,.199,2.5,11.0,6.6,27.8,1.9,0.9,16.4,27.2,,-3.1,2.5,-0.5,-0.008,,-1.5,-0.8,-2.3,-0.2
2 seasons,,NYK,NBA,,55,1137,10.6,.442,.272,.252,3.2,9.7,6.3,29.4,2.3,1.3,16.7,25.2,,-1.9,0.8,-1.1,-0.045,,-2.9,-0.9,-3.8,-0.5",undefined
Zach Collins,"--- When using SR data, please cite us and provide a link and/or a mention.


 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2017-18,20,POR,NBA,C,66,1045,7.5,.475,.391,.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,,-0.7,1.3,0.6,.030,,-4.5,0.2,-4.3,-0.6
2018-19,21,POR,NBA,C,77,1356,13.5,.562,.303,.315,8.8,16.5,12.7,7.1,0.9,3.9,14.5,16.6,,1.4,1.5,2.9,.104,,-1.5,0.3,-1.2,0.3
2019-20,22,POR,NBA,PF,11,290,9.9,.538,.279,.118,9.1,15.7,12.4,7.2,0.8,1.5,16.4,12.5,,0.2,0.1,0.3,.052,,-1.7,-1.4,-3.1,-0.1
Career,,,NBA,,154,2691,10.8,.528,.334,.232,7.2,17.1,12.2,7.1,0.9,3.1,15.2,15.7,,0.9,3.0,3.9,.069,,-2.7,0.1,-2.6,-0.4",undefined
